event_url,fighter_1,fighter_2,weight_class,method,round,time
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Brendan AllenReinier de Ridder,00,229,13,11,Middleweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Mike MalottKevin Holland,00,4952,11,10,Welterweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Aiemann ZahabiMarlon Vera,01,8156,00,00,Bantamweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Manon FiorotJasmine Jasudavicius,00,162,00,00,Women's Flyweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Charles JourdainDavey Grant,10,259,00,10,Bantamweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Kyle NelsonMatt Frevola,10,6343,22,00,Lightweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Drew DoberKyle Prepolec,00,8351,00,00,Lightweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,AoriqilengCody Gibson,10,53,00,00,Bantamweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Bruno SilvaHyunSung Park,10,4631,51,10,Flyweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Djorden SantosDanny Barlow,00,9993,00,00,Middleweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Stephanie LucianoRavena Oliveira,00,6024,30,10,Women's Strawweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Yousri BelgarouiAzamat Bekoev,00,10224,14,00,Middleweight
http://ufcstats.com/event-details/38e5d9dcb0fddc42,Melissa CrodenTainara Lisboa,10,9942,22,00,Women's Bantamweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Charles OliveiraMateusz Gamrot,00,1118,11,10,Lightweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Deiveson FigueiredoMontel Jackson,00,2330,21,00,Bantamweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Joel AlvarezVicente Luque,00,8930,10,10,Welterweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Mario PintoJhonata Diniz,00,291,30,20,Heavyweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Kaan OfliRicardo Ramos,00,11,10,13,Featherweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Michael Aswell Jr.Lucas Almeida,20,309,00,00,Featherweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Jafel FilhoClayton Carpenter,00,57,10,10,Flyweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Vitor PetrinoThomas Petersen,20,3116,10,00,Heavyweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Bia MesquitaIrina Alekseeva,00,366,20,10,Women's Bantamweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Lucas RochaStewart Nicoll,00,11545,32,00,Flyweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Julia PolastriKarolina Kowalkiewicz,00,13772,01,00,Women's Strawweight
http://ufcstats.com/event-details/9336e86cfd4ceaa1,Luan LacerdaSaimon Oliveira,00,2421,31,10,Bantamweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Alex PereiraMagomed Ankalaev,00,284,00,00,Light Heavyweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Merab DvalishviliCory Sandhagen,00,11480,200,00,Bantamweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Jiri ProchazkaKhalil Rountree Jr.,10,7166,00,00,Light Heavyweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Youssef ZalalJosh Emmett,00,00,10,10,Featherweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Joe PyferAbus Magomedov,10,611,01,21,Middleweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Ateba GautierTre'ston Vines,10,60,10,00,Middleweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Daniel SantosJooSang Yoo,10,2731,10,00,Catch Weight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Jakub WiklaczPatchy Mix,00,4637,05,30,Bantamweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Edmen ShahbazyanAndre Muniz,10,2515,01,00,Middleweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Punahele SorianoNikolay Veretennikov,00,399,40,12,Welterweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Yana SantosMacy Chiasson,00,6554,02,01,Women's Bantamweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Farid BasharatChris Gutierrez,00,4131,21,00,Bantamweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Ramiz BrahimajAustin Vanderford,00,215,03,20,Welterweight
http://ufcstats.com/event-details/8944a0f9b2f0ce6d,Veronica HardyBrogan Walker,10,3922,03,10,Women's Flyweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Carlos UlbergDominick Reyes,10,115,00,00,Light Heavyweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Jimmy CruteIvan Erslan,00,1210,20,10,Light Heavyweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Jack JenkinsRamon Taveras,00,6543,30,10,Featherweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Neil MagnyJake Matthews,00,3118,30,13,Welterweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Tom NolanCharlie Campbell,00,2615,10,10,Lightweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Navajo StirlingRodolfo Bellato,00,8143,12,00,Light Heavyweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Cam RowstonAndre Petroski,10,127,00,00,Middleweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Jamie MullarkeyRolando Bedoya,00,4346,30,01,Lightweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Colby ThicknesseJosias Musasa,00,6243,21,10,Bantamweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Michelle MontagueLuana Carolina,00,4148,50,01,Women's Bantamweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Brando PericicElisha Ellison,00,293,00,00,Heavyweight
http://ufcstats.com/event-details/ed220e87bef0cc64,Alexia ThainaraLoma Lookboonmee,00,4430,50,10,Women's Strawweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Diego LopesJean Silva,10,7443,30,00,Featherweight
http://ufcstats.com/event-details/5efaaf313b652dd7,David MartinezRob Font,00,6249,00,00,Bantamweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Rafa GarciaJared Gordon,10,9165,21,20,Lightweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Kelvin GastelumDustin Stoltzfus,10,5764,01,00,Middleweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Alexander HernandezDiego Ferreira,10,3023,00,00,Lightweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Santiago LunaQuang Le,20,1512,00,00,Bantamweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Dusko TodorovicJose Daniel Medina,00,169,20,10,Middleweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Joaquim SilvaClaudio Puelles,10,2521,04,10,Lightweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Tatiana SuarezAmanda Lemos,00,2023,30,01,Women's Strawweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Jesus AguilarLuis Gurule,00,8565,10,00,Flyweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Zachary ReeseSedriques Dumas,00,23,00,00,Middleweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Alden CoriaAlessandro Costa,00,4212,21,02,Flyweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Montse RendonAlice Pereira,00,4537,00,10,Women's Bantamweight
http://ufcstats.com/event-details/5efaaf313b652dd7,Daniil DonchenkoRodrigo Sezinando,10,3910,11,00,Welterweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Nassourdine ImavovCaio Borralho,00,8166,00,00,Middleweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Benoit Saint DenisMauricio Ruffy,00,175,30,10,Lightweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Modestas BukauskasPaul Craig,00,226,00,00,Light Heavyweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Mason JonesBolaji Oki,11,5738,20,10,Lightweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Axel SolaRhys McKee,10,4533,10,00,Welterweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,William GomisRobert Ruchala,00,4934,22,00,Featherweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Oumar SyBrendson Ribeiro,00,175,20,00,Light Heavyweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Ante DelijaMarcin Tybura,10,134,00,00,Heavyweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Kaue FernandesHarry Hardwick,10,248,00,00,Lightweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Sam PattersonTrey Waters,00,2518,00,00,Welterweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Robert BryczekBrad Tavares,10,6842,11,00,Middleweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Rinat FakhretdinovAndreas Gustafsson,00,235,00,00,Welterweight
http://ufcstats.com/event-details/6e380a4d73ab4f0e,Sam HughesShauna Bannon,00,2113,20,10,Women's Strawweight
http://ufcstats.com/event-details/754968e325d6f60d,Johnny WalkerZhang Mingyang,10,5020,00,00,Light Heavyweight
http://ufcstats.com/event-details/754968e325d6f60d,Aljamain SterlingBrian Ortega,00,12455,30,00,Catch Weight
http://ufcstats.com/event-details/754968e325d6f60d,Sergei PavlovichWaldo Cortes-Acosta,00,6145,00,00,Heavyweight
http://ufcstats.com/event-details/754968e325d6f60d,SumudaerjiKevin Borjas,00,7316,00,00,Flyweight
http://ufcstats.com/event-details/754968e325d6f60d,Taiyilake NuerajiKiefer Crosbie,00,272,10,00,Welterweight
http://ufcstats.com/event-details/754968e325d6f60d,Gauge YoungMaheshate,00,11266,30,00,Lightweight
http://ufcstats.com/event-details/754968e325d6f60d,Charles JohnsonLone'er Kavanagh,10,4459,11,01,Flyweight
http://ufcstats.com/event-details/754968e325d6f60d,RongzhuAustin Hubbard,00,10175,02,00,Lightweight
http://ufcstats.com/event-details/754968e325d6f60d,Kyle DaukausMichel Pereira,10,52,00,00,Middleweight
http://ufcstats.com/event-details/754968e325d6f60d,YizhaWestin Wilson,20,130,00,00,Featherweight
http://ufcstats.com/event-details/754968e325d6f60d,SuYoung YouXiao Long,00,5868,00,00,Bantamweight
http://ufcstats.com/event-details/754968e325d6f60d,Uran SatybaldievDiyar Nurgozhay,10,27,01,20,Light Heavyweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Khamzat ChimaevDricus Du Plessis,00,3713,121,01,Middleweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Lerone MurphyAaron Pico,10,813,02,10,Featherweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Carlos PratesGeoff Neal,10,3225,00,00,Welterweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Michael PageJared Cannonier,00,2920,02,00,Middleweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Tim ElliottKai Asakura,00,2721,20,20,Flyweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Baisangur SusurkaevEric Nolan,00,3622,20,10,Middleweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Michal OleksiejczukGerald Meerschaert,10,233,00,00,Middleweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Loopy GodinezJessica Andrade,00,10790,10,00,Women's Strawweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Alexander HernandezChase Hooper,10,1720,00,00,Lightweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Drakkar KloseEdson Barboza,00,5371,00,00,Lightweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Karine SilvaDione Barbosa,00,2631,13,21,Women's Flyweight
http://ufcstats.com/event-details/421ccfc6ddb17958,Joseph MoralesAlibi Idiris,00,2928,20,20,Flyweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Anthony HernandezRoman Dolidze,00,9136,90,10,Middleweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Steve ErcegOde Osbourne,00,2035,31,10,Bantamweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Iasmin LucindoAngela Hill,00,7264,30,01,Women's Strawweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Andre FiliChristian Rodriguez,00,6483,31,00,Featherweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Jean MatsumotoMiles Johns,00,9583,05,20,Bantamweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Christian Leroy DuncanEryk Anders,10,247,01,00,Middleweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Julius WalkerRafael Cerqueira,10,4419,60,00,Light Heavyweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Elijah SmithToshiomi Kazama,00,370,01,01,Bantamweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Joselyne EdwardsPriscila Cachoeira,10,2618,00,00,Women's Bantamweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Uros MedicGilbert Urbina,11,55,00,00,Welterweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Gabriella FernandesJulija Stoliarenko,00,5961,00,00,Women's Flyweight
http://ufcstats.com/event-details/6cd3dfc54f01287f,Eric McConicoCody Brundage,00,2631,03,00,Light Heavyweight
http://ufcstats.com/event-details/f2c934689243fe4e,Tatsuro TairaHyunSung Park,10,73,40,10,Flyweight
