fight_url,fighter_1,fighter_2,has_strike_data,result
http://ufcstats.com/fight-details/970f083af8368f57,Cody Gibson,Aoriqileng,True,"L
  


Cody Gibson 


      ""The Renegade"""
http://ufcstats.com/fight-details/3af1bdc5a510bba9,Kyle Nelson,Matt Frevola,True,"W
  


Kyle Nelson 


      ""The Monster"""
http://ufcstats.com/fight-details/cdd565a16975c711,Kevin Holland,Mike Malott,True,"L
  


Kevin Holland 


      ""Trailblazer"""
http://ufcstats.com/fight-details/857d274e47aa8c4e,Marlon Vera,Aiemann Zahabi,True,"L
  


Marlon Vera 


      ""Chito"""
http://ufcstats.com/fight-details/ecdbb3a5216b815e,Kyle Prepolec,Drew Dober,True,"L
  


Kyle Prepolec 


      ""Killshot"""
http://ufcstats.com/fight-details/c82acd7b17915591,Manon Fiorot,Jasmine Jasudavicius,True,"W
  


Manon Fiorot 


      ""The Beast"""
http://ufcstats.com/fight-details/096e00355c8c84ac,Danny Barlow,Djorden Santos,True,"L
  


Danny Barlow 


      ""LeftHand2God"""
http://ufcstats.com/fight-details/668a44403a130043,Bruno Silva,HyunSung Park,True,"W
  


Bruno Silva 


      ""Bulldog"""
http://ufcstats.com/fight-details/dec301fd5e99ca46,Melissa Croden,Tainara Lisboa,True,"W
  


Melissa Croden 


      ""Scare"""
http://ufcstats.com/fight-details/d61373d9fdf01a12,Reinier de Ridder,Brendan Allen,True,"L
  


Reinier de Ridder 


      ""RdR"""
http://ufcstats.com/fight-details/87ac0e5face106b4,Azamat Bekoev,Yousri Belgaroui,True,"L
  


Azamat Bekoev 


      ""Iron"""
http://ufcstats.com/fight-details/8d9458121f0c4b95,Stephanie Luciano,Ravena Oliveira,True,"W
  


Stephanie Luciano 


      ""Rondinha"""
http://ufcstats.com/fight-details/a18edcb638ba7e39,Charles Jourdain,Davey Grant,True,"W
  


Charles Jourdain 


      ""Air"""
http://ufcstats.com/fight-details/03377f7bf8a2d5ff,Jhonata Diniz,Mario Pinto,True,"L
  


Jhonata Diniz"
http://ufcstats.com/fight-details/f295eb2a7b0ba4b7,Deiveson Figueiredo,Montel Jackson,True,"W
  


Deiveson Figueiredo 


      ""Deus da Guerra"""
http://ufcstats.com/fight-details/766b0b26c40525de,Jafel Filho,Clayton Carpenter,True,"W
  


Jafel Filho 


      ""Pastor"""
http://ufcstats.com/fight-details/c547b3e95bcc5f24,Julia Polastri,Karolina Kowalkiewicz,True,"W
  


Julia Polastri 


      ""Psycho"""
http://ufcstats.com/fight-details/cff0abc02974fb4a,Lucas Almeida,Michael Aswell Jr.,True,"L
  


Lucas Almeida"
http://ufcstats.com/fight-details/546f971f9d8e0a33,Bia Mesquita,Irina Alekseeva,True,"W
  


Bia Mesquita"
http://ufcstats.com/fight-details/a815dafc89adf33b,Vitor Petrino,Thomas Petersen,True,"W
  


Vitor Petrino"
http://ufcstats.com/fight-details/6188b7fb3f8daacc,Vicente Luque,Joel Alvarez,True,"L
  


Vicente Luque 


      ""The Silent Assassin"""
http://ufcstats.com/fight-details/0f9e7d0d04e24b74,Luan Lacerda,Saimon Oliveira,True,"W
  


Luan Lacerda"
http://ufcstats.com/fight-details/2aef1a91d26dde42,Ricardo Ramos,Kaan Ofli,True,"L
  


Ricardo Ramos"
http://ufcstats.com/fight-details/434abaea90ccd299,Lucas Rocha,Stewart Nicoll,True,"W
  


Lucas Rocha 


      ""Fenomeno"""
http://ufcstats.com/fight-details/79865287be90e4be,Charles Oliveira,Mateusz Gamrot,True,"W
  


Charles Oliveira 


      ""Do Bronxs"""
http://ufcstats.com/fight-details/a8511df8285f5c91,Merab Dvalishvili,Cory Sandhagen,True,"W
  


Merab Dvalishvili 


      ""The Machine"""
http://ufcstats.com/fight-details/7b34aa1eb09b8301,Daniel Santos,JooSang Yoo,True,"W
  


Daniel Santos 


      ""Willycat"""
http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,Patchy Mix,Jakub Wiklacz,True,"L
  


Patchy Mix 


      ""No Love"""
http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,Magomed Ankalaev,Alex Pereira,True,"L
  


Magomed Ankalaev"
http://ufcstats.com/fight-details/e53fd165a3bc1f8e,Chris Gutierrez,Farid Basharat,True,"L
  


Chris Gutierrez 


      ""El Guapo"""
http://ufcstats.com/fight-details/8353b491afa7bc32,Macy Chiasson,Yana Santos,True,"L
  


Macy Chiasson"
http://ufcstats.com/fight-details/84ebd144d5e79c88,Josh Emmett,Youssef Zalal,True,"L
  


Josh Emmett 


      ""CC0"""
http://ufcstats.com/fight-details/a951090fb402fd20,Punahele Soriano,Nikolay Veretennikov,True,"W
  


Punahele Soriano 


      ""Puna"""
http://ufcstats.com/fight-details/9418ebb3db2a4bae,Ateba Gautier,Tre'ston Vines,True,"W
  


Ateba Gautier 


      ""The Silent Assassin"""
http://ufcstats.com/fight-details/b98bc1ecb94ef4a5,Ramiz Brahimaj,Austin Vanderford,True,"W
  


Ramiz Brahimaj"
http://ufcstats.com/fight-details/d006dd2513bd376d,Abus Magomedov,Joe Pyfer,True,"L
  


Abus Magomedov"
http://ufcstats.com/fight-details/98883348ddb3be33,Veronica Hardy,Brogan Walker,True,"W
  


Veronica Hardy"
http://ufcstats.com/fight-details/2560ea97b2cce4ef,Jiri Prochazka,Khalil Rountree Jr.,True,"W
  


Jiri Prochazka"
http://ufcstats.com/fight-details/1c7cc3a22ab7d907,Edmen Shahbazyan,Andre Muniz,True,"W
  


Edmen Shahbazyan 


      ""The Golden Boy"""
http://ufcstats.com/fight-details/8abad36b4c5e4070,Tom Nolan,Charlie Campbell,True,"W
  


Tom Nolan 


      ""Big Train"""
http://ufcstats.com/fight-details/93a0a19c2c1cfe66,Cam Rowston,Andre Petroski,True,"W
  


Cam Rowston"
http://ufcstats.com/fight-details/f5fb8b182020c59d,Jimmy Crute,Ivan Erslan,True,"W
  


Jimmy Crute"
http://ufcstats.com/fight-details/a3ee907c77544cde,Carlos Ulberg,Dominick Reyes,True,"W
  


Carlos Ulberg 


      ""Black Jag"""
http://ufcstats.com/fight-details/dc31d3260dea7dcf,Navajo Stirling,Rodolfo Bellato,True,"W
  


Navajo Stirling"
http://ufcstats.com/fight-details/e35f7504d83b8b07,Loma Lookboonmee,Alexia Thainara,True,"L
  


Loma Lookboonmee"
http://ufcstats.com/fight-details/140937779a2466a7,Brando Pericic,Elisha Ellison,True,"W
  


Brando Pericic 


      ""The Balkan Bear"""
http://ufcstats.com/fight-details/e2dc4fb7b5c0ce76,Jamie Mullarkey,Rolando Bedoya,True,"W
  


Jamie Mullarkey"
http://ufcstats.com/fight-details/44cd8c9f622e155f,Michelle Montague,Luana Carolina,True,"W
  


Michelle Montague 


      ""The Wild One"""
http://ufcstats.com/fight-details/1ff24d5f760e0491,Jake Matthews,Neil Magny,True,"L
  


Jake Matthews 


      ""The Celtic Kid"""
http://ufcstats.com/fight-details/38248c5d13f273e6,Jack Jenkins,Ramon Taveras,True,"W
  


Jack Jenkins 


      ""Phar"""
http://ufcstats.com/fight-details/81127436605d3c88,Colby Thicknesse,Josias Musasa,True,"W
  


Colby Thicknesse 


      ""Slickness"""
http://ufcstats.com/fight-details/9474f64347aade7a,Tatiana Suarez,Amanda Lemos,True,"W
  


Tatiana Suarez"
http://ufcstats.com/fight-details/114d2f6fcd3f6f00,Kelvin Gastelum,Dustin Stoltzfus,True,"W
  


Kelvin Gastelum"
http://ufcstats.com/fight-details/944b929130b23c2a,Rob Font,David Martinez,True,"L
  


Rob Font"
http://ufcstats.com/fight-details/7cbfeba85f86d1bf,Rafa Garcia,Jared Gordon,True,"W
  


Rafa Garcia 


      ""Gifted"""
http://ufcstats.com/fight-details/352839a03b428e74,Claudio Puelles,Joaquim Silva,True,"L
  


Claudio Puelles 


      ""Prince of Peru"""
http://ufcstats.com/fight-details/de1a3734be60e6a1,Diego Lopes,Jean Silva,True,"W
  


Diego Lopes"
http://ufcstats.com/fight-details/3dc1a6335d890650,Jesus Aguilar,Luis Gurule,True,"W
  


Jesus Aguilar"
