00_2_f1_made,00_2_f1_attempt,00_2_f2_made,00_2_f2_attempt,10_2_f1_made,10_2_f1_attempt,10_2_f2_made,10_2_f2_attempt,winner_encoded
0.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,1
20.0,3611.0,3611.0,24.0,0.0,0.0,0.0,0.0,1
24.0,6237.0,6237.0,71.0,21.0,5024.0,5024.0,44.0,1
16.0,272.0,272.0,14.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,25.0,439.0,439.0,26.0,0
11.0,237.0,237.0,13.0,23.0,5515.0,5515.0,54.0,0
7.0,1820.0,1820.0,45.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14.0,2314.0,2314.0,46.0,12.0,187.0,187.0,31.0,0
16.0,3930.0,3930.0,62.0,0.0,0.0,0.0,0.0,1
9.0,151.0,151.0,8.0,0.0,0.0,0.0,0.0,0
1.0,627.0,627.0,30.0,0.0,0.0,0.0,0.0,1
39.0,614.0,614.0,10.0,33.0,5713.0,5713.0,26.0,0
8.0,2514.0,2514.0,35.0,0.0,0.0,0.0,0.0,0
8.0,148.0,148.0,18.0,0.0,0.0,0.0,0.0,0
3.0,163.0,163.0,9.0,0.0,0.0,0.0,0.0,1
0.0,317.0,317.0,19.0,0.0,0.0,0.0,0.0,1
1.0,41.0,41.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.0,137.0,137.0,21.0,0.0,0.0,0.0,0.0,0
14.0,2813.0,2813.0,28.0,4.0,62.0,62.0,2.0,0
0.0,53.0,53.0,10.0,0.0,0.0,0.0,0.0,0
60.0,9910.0,9910.0,46.0,0.0,0.0,0.0,0.0,0
38.0,6420.0,6420.0,63.0,0.0,0.0,0.0,0.0,0
14.0,1915.0,1915.0,26.0,0.0,0.0,0.0,0.0,0
4.0,928.0,928.0,45.0,0.0,0.0,0.0,0.0,1
34.0,6618.0,6618.0,44.0,0.0,0.0,0.0,0.0,0
12.0,4324.0,4324.0,65.0,47.0,7127.0,7127.0,61.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
11.0,121.0,121.0,3.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,6.0,120.0,120.0,1.0,0
17.0,4728.0,4728.0,49.0,10.0,153.0,153.0,6.0,0
7.0,92.0,92.0,3.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,25.0,5015.0,5015.0,38.0,0
7.0,112.0,112.0,2.0,0.0,0.0,0.0,0.0,0
15.0,353.0,353.0,22.0,0.0,0.0,0.0,0.0,1
19.0,4612.0,4612.0,38.0,0.0,0.0,0.0,0.0,1
17.0,221.0,221.0,4.0,0.0,0.0,0.0,0.0,0
14.0,267.0,267.0,20.0,16.0,298.0,298.0,25.0,0
0.0,0.0,0.0,0.0,11.0,175.0,175.0,11.0,0
12.0,1610.0,1610.0,14.0,0.0,0.0,0.0,0.0,0
4.0,117.0,117.0,12.0,0.0,0.0,0.0,0.0,0
2.0,86.0,86.0,11.0,0.0,0.0,0.0,0.0,1
26.0,6115.0,6115.0,42.0,0.0,0.0,0.0,0.0,0
28.0,5722.0,5722.0,37.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,12.0,367.0,367.0,13.0,0
25.0,5431.0,5431.0,73.0,0.0,0.0,0.0,0.0,0
11.0,2213.0,2213.0,27.0,0.0,0.0,0.0,0.0,0
14.0,249.0,249.0,21.0,0.0,0.0,0.0,0.0,0
29.0,493.0,493.0,9.0,0.0,0.0,0.0,0.0,0
6.0,208.0,208.0,23.0,0.0,0.0,0.0,0.0,1
43.0,7710.0,7710.0,20.0,31.0,5833.0,5833.0,71.0,0
23.0,5830.0,5830.0,83.0,0.0,0.0,0.0,0.0,1
33.0,6131.0,6131.0,86.0,36.0,6011.0,6011.0,36.0,0
20.0,4920.0,4920.0,52.0,23.0,4320.0,4320.0,45.0,0
12.0,3611.0,3611.0,53.0,18.0,3912.0,3912.0,45.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,2516.0,2516.0,24.0,0.0,0.0,0.0,0.0,1
6.0,3111.0,3111.0,29.0,0.0,0.0,0.0,0.0,1
8.0,1513.0,1513.0,22.0,0.0,0.0,0.0,0.0,0
30.0,9733.0,9733.0,73.0,0.0,0.0,0.0,0.0,0
2.0,73.0,73.0,10.0,0.0,0.0,0.0,0.0,2
1.0,410.0,410.0,19.0,0.0,0.0,0.0,0.0,1
14.0,6413.0,6413.0,34.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21.0,4324.0,4324.0,44.0,0.0,0.0,0.0,0.0,0
11.0,204.0,204.0,11.0,0.0,0.0,0.0,0.0,0
22.0,366.0,366.0,14.0,0.0,0.0,0.0,0.0,0
9.0,2637.0,2637.0,79.0,0.0,0.0,0.0,0.0,0
18.0,4916.0,4916.0,59.0,18.0,3111.0,3111.0,37.0,0
23.0,5516.0,5516.0,50.0,0.0,0.0,0.0,0.0,0
17.0,435.0,435.0,14.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25.0,4818.0,4818.0,38.0,0.0,0.0,0.0,0.0,0
10.0,2220.0,2220.0,37.0,0.0,0.0,0.0,0.0,1
5.0,1923.0,1923.0,42.0,0.0,0.0,0.0,0.0,1
6.0,178.0,178.0,17.0,0.0,0.0,0.0,0.0,1
9.0,2212.0,2212.0,30.0,41.0,458.0,458.0,17.0,0
10.0,2724.0,2724.0,38.0,0.0,0.0,0.0,0.0,1
30.0,6214.0,6214.0,46.0,0.0,0.0,0.0,0.0,0
24.0,474.0,474.0,11.0,0.0,0.0,0.0,0.0,0
27.0,382.0,382.0,3.0,0.0,0.0,0.0,0.0,0
24.0,5436.0,5436.0,69.0,0.0,0.0,0.0,0.0,1
14.0,2536.0,2536.0,65.0,30.0,5623.0,5623.0,55.0,0
52.0,8929.0,8929.0,99.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.0,10123.0,10123.0,45.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,2.0,97.0,97.0,11.0,0
10.0,209.0,209.0,12.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,8.0,1613.0,1613.0,29.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0,167.0,167.0,15.0,0.0,0.0,0.0,0.0,1
11.0,3110.0,3110.0,42.0,0.0,0.0,0.0,0.0,0
17.0,254.0,254.0,7.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57.0,14136.0,14136.0,92.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29.0,4613.0,4613.0,29.0,0.0,0.0,0.0,0.0,1
7.0,229.0,229.0,30.0,0.0,0.0,0.0,0.0,0
10.0,2919.0,2919.0,39.0,0.0,0.0,0.0,0.0,1
